PERIODO,ENTIDAD,MINIMA,MEDIA,MAXIMA,PRECIPITACION
2009-03-01T00:00:00,Estado de México,5.4,14.5,23.7,9.8
2009-04-01T00:00:00,Estado de México,7.4,16.3,25.3,3.6
2009-05-01T00:00:00,Estado de México,9.3,17.3,25.4,57.3
2009-06-01T00:00:00,Estado de México,9.9,17.1,24.3,108.6
2009-07-01T00:00:00,Estado de México,9.9,15.7,21.5,98.6
2009-08-01T00:00:00,Estado de México,9.8,15.9,22,123
2009-09-01T00:00:00,Estado de México,9.8,15.2,20.6,216.1
2009-10-01T00:00:00,Estado de México,7.1,14.3,21.5,87.7
2009-11-01T00:00:00,Estado de México,3.8,12.2,20.6,1.7
2009-12-01T00:00:00,Estado de México,2.7,11.4,20.2,4.1
2010-01-01T00:00:00,Estado de México,3,10.6,18.2,35.1
2010-02-01T00:00:00,Estado de México,4.4,12.3,20.2,124.3
2010-03-01T00:00:00,Estado de México,5.3,14.4,23.4,0.4
2010-04-01T00:00:00,Estado de México,7.6,16.2,24.9,12.3
2010-05-01T00:00:00,Estado de México,9.7,18.1,26.5,22.8
2010-06-01T00:00:00,Estado de México,9.5,16.6,23.8,89.7
2010-07-01T00:00:00,Estado de México,10.1,15.5,20.9,243.7
2010-08-01T00:00:00,Estado de México,9.3,15.3,21.3,161.5
2010-09-01T00:00:00,Estado de México,8.6,14.6,20.6,114.3
2010-10-01T00:00:00,Estado de México,5.4,13.1,20.8,3.8
2010-11-01T00:00:00,Estado de México,4,12.3,20.6,1.8
2010-12-01T00:00:00,Estado de México,2.1,11.3,20.5,0
2011-01-01T00:00:00,Estado de México,3,11.2,19.5,0.7
2011-02-01T00:00:00,Estado de México,5.2,12.8,20.5,0.3
2011-03-01T00:00:00,Estado de México,5.6,14.5,23.4,2.2
2011-04-01T00:00:00,Estado de México,7.2,15.6,24,20.8
2011-05-01T00:00:00,Estado de México,9.5,17.6,25.7,24.7
2011-06-01T00:00:00,Estado de México,9.6,16,22.5,131.9
2011-07-01T00:00:00,Estado de México,10,15.7,21.4,221
2011-08-01T00:00:00,Estado de México,9.8,15.8,21.7,116.9
2011-09-01T00:00:00,Estado de México,9.3,15.5,21.8,63.5
2011-10-01T00:00:00,Estado de México,6.5,14,21.5,59.1
2011-11-01T00:00:00,Estado de México,5.3,12.7,20.2,16.2
2011-12-01T00:00:00,Estado de México,3.6,12.3,21.1,0.3
2012-01-01T00:00:00,Estado de México,3.9,11.8,19.7,3.6
2012-02-01T00:00:00,Estado de México,5.2,13.3,21.4,33.6
2012-03-01T00:00:00,Estado de México,5.8,14.7,23.6,14.4
2012-04-01T00:00:00,Estado de México,7.2,15.9,24.7,9
2012-05-01T00:00:00,Estado de México,9.1,17.3,25.5,20.1
2012-06-01T00:00:00,Estado de México,10.5,17.1,23.7,130.1
2012-07-01T00:00:00,Estado de México,10.5,16.5,22.6,180.7
2012-08-01T00:00:00,Estado de México,10.6,16.6,22.6,130.9
2012-09-01T00:00:00,Estado de México,11.1,16.8,22.6,78.2
2012-10-01T00:00:00,Estado de México,8.1,15.4,22.7,14.8
2012-11-01T00:00:00,Estado de México,5.8,13,20.3,12.5
2012-12-01T00:00:00,Estado de México,4.5,12.9,21.4,0.6
2013-01-01T00:00:00,Estado de México,4.6,12.8,21,4.1
2013-02-01T00:00:00,Estado de México,4.7,14.4,24,0.9
2013-03-01T00:00:00,Estado de México,5.5,14.8,24.1,7.7
2013-04-01T00:00:00,Estado de México,7.8,17.2,26.6,11.9
2013-05-01T00:00:00,Estado de México,9.4,17.9,26.3,56.9
2013-06-01T00:00:00,Estado de México,10.9,17.9,24.8,124.2
2013-07-01T00:00:00,Estado de México,10.6,17,23.3,161.1
2013-08-01T00:00:00,Estado de México,10.4,16.7,23,133
2013-09-01T00:00:00,Estado de México,11.2,16.7,22.1,221.9
2013-10-01T00:00:00,Estado de México,8.9,15.7,22.6,71.7
2013-11-01T00:00:00,Estado de México,6.4,13.5,20.6,42.1
2013-12-01T00:00:00,Estado de México,4.7,12.7,20.7,7.6
2014-01-01T00:00:00,Estado de México,2.3,10.9,19.5,3.1
2014-02-01T00:00:00,Estado de México,3.9,13.6,23.4,2.9
2014-03-01T00:00:00,Estado de México,6,15.2,24.5,6.1
2014-04-01T00:00:00,Estado de México,7.6,16.4,25.1,17.9
2014-05-01T00:00:00,Estado de México,8.6,16.1,23.5,111.2
2014-06-01T00:00:00,Estado de México,8.6,16.1,23.5,183.5
2014-07-01T00:00:00,Estado de México,9.4,15.8,22.2,142.5
2014-08-01T00:00:00,Estado de México,9.1,15.9,22.6,134.1
2014-09-01T00:00:00,Estado de México,10,16,22,148.2
2014-10-01T00:00:00,Estado de México,8,14.8,21.7,104.1
2014-11-01T00:00:00,Estado de México,5.5,13.5,21.4,11.1
2014-12-01T00:00:00,Estado de México,4.2,12.5,20.8,20
2015-01-01T00:00:00,Estado de México,3.3,11.8,20.4,1.8
2015-02-01T00:00:00,Estado de México,3.9,12.6,21.4,11.4
2015-03-01T00:00:00,Estado de México,6.1,14,21.8,61.5
2015-04-01T00:00:00,Estado de México,7.7,16.2,24.6,15.9
2015-05-01T00:00:00,Estado de México,8.9,16.3,23.7,128.7
2015-06-01T00:00:00,Estado de México,9.9,16.1,22.4,128.1
2015-07-01T00:00:00,Estado de México,9.3,15.9,22.4,141
2015-08-01T00:00:00,Estado de México,9.3,16.2,23.1,117
2015-09-01T00:00:00,Estado de México,10.1,16.1,22.1,168.2
2015-10-01T00:00:00,Estado de México,8.2,15.1,22,57.3
2015-11-01T00:00:00,Estado de México,7.1,14.6,22.1,17.5
2015-12-01T00:00:00,Estado de México,5.3,13.2,21.2,10.2
2016-01-01T00:00:00,Estado de México,2.6,11.2,19.8,14.2
2016-02-01T00:00:00,Estado de México,2.7,12.6,22.5,5.8
2016-03-01T00:00:00,Estado de México,5.7,14.4,23.1,37.4
2016-04-01T00:00:00,Estado de México,7.8,17,26.2,18.5
2016-05-01T00:00:00,Estado de México,9.8,18.3,26.9,76.7
2016-06-01T00:00:00,Estado de México,10.1,16.6,23,169.8
2016-07-01T00:00:00,Estado de México,10,16.5,23.1,171.2
2016-08-01T00:00:00,Estado de México,10,16.8,23.5,200.3
2016-09-01T00:00:00,Estado de México,9.7,16.2,22.8,140.4
2016-10-01T00:00:00,Estado de México,7.7,15.1,22.5,31.7
2016-11-01T00:00:00,Estado de México,5.6,13,20.4,45.3
2016-12-01T00:00:00,Estado de México,5.5,14.1,22.6,3.5
2017-01-01T00:00:00,Estado de México,1.8,12.3,22.8,0.1
2017-02-01T00:00:00,Estado de México,3,13.1,23.1,1.1
2017-03-01T00:00:00,Estado de México,5.1,14.3,23.4,17
2017-04-01T00:00:00,Estado de México,6.5,15.9,25.2,14.3
2017-05-01T00:00:00,Estado de México,9.7,18.2,26.7,86.6
2017-06-01T00:00:00,Estado de México,9.9,17.4,25,119.7
2017-07-01T00:00:00,Estado de México,9.7,16.2,22.7,174.5
2017-08-01T00:00:00,Estado de México,10.1,16.8,23.5,209.5
2017-09-01T00:00:00,Estado de México,9.6,15.9,22.1,186.3
2017-10-01T00:00:00,Estado de México,7.9,15.1,22.4,53
2017-11-01T00:00:00,Estado de México,3.3,13.1,22.9,3.3
2017-12-01T00:00:00,Estado de México,2.5,12.7,22.9,0.1
2018-01-01T00:00:00,Estado de México,1.3,11.1,20.8,11.5
2018-02-01T00:00:00,Estado de México,4.9,14,23.1,17.5
2018-03-01T00:00:00,Estado de México,6.2,15.9,25.5,6.8
2018-04-01T00:00:00,Estado de México,7.2,16.2,25.1,41.7
2018-05-01T00:00:00,Estado de México,8.6,17.2,25.7,89.5
2018-06-01T00:00:00,Estado de México,9.9,16.8,23.7,241.2
2018-07-01T00:00:00,Estado de México,8.8,16.4,23.9,112.6
